College,Category,Tution Fee,Semester Fee ( Non-Refundable ),Non-refundable one time payment,Hostel  & Mess Fee,Refundable Deposit (one time payment at the time of Admission ),Total Amount
IIT - Bhu,General  /  OBC     ( Income  > 5L ),100000,4050,5750,19050,9000,137850
IIT - Bhu,General  /  OBC / EWS     ( Income  1L to 5L ),33333,4050,5750,19050,9000,71183
IIT - Bhu,General  /  OBC / EWS     ( Income  below 1L ),0,4050,5750,19050,9000,37850
IIT - Bhu,SC / ST / All PwD,0,4050,5750,18750,9000,37550
IIT - Bhilai,General  /  OBC     ( Income  > 5L ),100000,13750,12000,39520,7000,172270
IIT - Bhilai,General  /  OBC / EWS     ( Income  1L to 5L ),33333,13750,12000,39520,7000,105603
IIT - Bhilai,General  /  OBC / EWS     ( Income  below 1L ),0,13750,12000,39520,7000,72270
IIT - Bhilai,SC / ST / All PwD,0,13750,12000,39520,7000,72270
IIT - Bhubaneshwar,General  /  OBC     ( Income  > 5L ),100000,11274,8000,27500,12000,158774
IIT - Bhubaneshwar,General  /  OBC / EWS     ( Income  1L to 5L ),33333,11274,8000,27500,12000,92107
IIT - Bhubaneshwar,General  /  OBC / EWS     ( Income  below 1L ),0,11274,8000,27500,12000,58774
IIT - Bhubaneshwar,SC / ST / All PwD,0,11274,8000,27500,12000,58774
IIT - Bombay,General  /  OBC     ( Income  > 5L ),100000,8150,16000,36900,10000,171050
IIT - Bombay,General  /  OBC / EWS     ( Income  1L to 5L ),33333,8150,16000,36900,10000,104383
IIT - Bombay,General  /  OBC / EWS     ( Income  below 1L ),0,8150,16000,36900,10000,71050
IIT - Bombay,SC / ST / All PwD,0,8150,16000,36900,10000,71050
IIT - Delhi,General  /  OBC     ( Income  > 5L ),100000,6250,8150,59600,8000,182000
IIT - Delhi,General  /  OBC / EWS     ( Income  1L to 5L ),33333,6250,8150,59600,8000,115333
IIT - Delhi,General  /  OBC / EWS     ( Income  below 1L ),0,6250,8150,59600,8000,82000
IIT - Delhi,SC / ST / All PwD,0,6250,8150,59600,8000,82000
IIT - Dhanbad,General  /  OBC     ( Income  > 5L ),100000,16200,0,18000,25200,159400
IIT - Dhanbad,General  /  OBC / EWS     ( Income  1L to 5L ),33333,16220,0,18000,25200,92753
IIT - Dhanbad,General  /  OBC / EWS     ( Income  below 1L ),0,16220,0,18000,25200,59420
IIT - Dhanbad,SC / ST / All PwD,0,16220,0,18000,25200,59420
IIT - Dharwad,General  /  OBC     ( Income  > 5L ),100000,15750,6500,24500,11000,157750
IIT - Dharwad,General  /  OBC / EWS     ( Income  1L to 5L ),33333,15750,6500,24500,11000,91083
IIT - Dharwad,General  /  OBC / EWS     ( Income  below 1L ),0,15750,6500,24500,11000,57750
IIT - Dharwad,SC / ST / All PwD,0,15750,6500,24500,11000,57750
IIT - Gandhinagar,General  /  OBC     ( Income  > 5L ),100000,9150,14650,43600,9000,176400
IIT - Gandhinagar,General  /  OBC / EWS     ( Income  1L to 5L ),33333,9150,14650,43600,9000,109733
IIT - Gandhinagar,General  /  OBC / EWS     ( Income  below 1L ),0,9150,14650,43600,9000,76400
IIT - Gandhinagar,SC / ST / All PwD,0,9150,14650,43600,9000,76400
IIT - Goa,General  /  OBC     ( Income  > 5L ),100000,15400,5000,16500,5000,141900
IIT - Goa,General  /  OBC / EWS     ( Income  1L to 5L ),33333,15400,5000,16500,5000,75233
IIT - Goa,General  /  OBC / EWS     ( Income  below 1L ),0,15400,5000,16500,5000,41900
IIT - Goa,SC / ST / All PwD,0,15400,5000,16500,5000,41900
IIT - Guwahati,General  /  OBC     ( Income  > 5L ),100000,13500,10800,28950,12000,165250
IIT - Guwahati,General  /  OBC / EWS     ( Income  1L to 5L ),33333,13500,10800,28950,12000,98583
IIT - Guwahati,General  /  OBC / EWS     ( Income  below 1L ),0,13500,10800,28950,12000,65250
IIT - Guwahati,SC / ST / All PwD,0,13500,10800,28950,12000,65250
IIT - Hyderabad,General  /  OBC     ( Income  > 5L ),100000,16619,13000,32430,6000,168049
IIT - Hyderabad,General  /  OBC / EWS     ( Income  1L to 5L ),33333,16610,13000,32430,6000,101373
IIT - Hyderabad,General  /  OBC / EWS     ( Income  below 1L ),0,16610,13000,32430,6000,68040
IIT - Hyderabad,SC / ST / All PwD,0,16610,13000,32430,6000,68040
IIT - Indore,General  /  OBC     ( Income  > 5L ),100000,23100,8100,18525,10000,159725
IIT - Indore,General  /  OBC / EWS     ( Income  1L to 5L ),33333,23100,8100,18525,10000,93058
IIT - Indore,General  /  OBC / EWS     ( Income  below 1L ),0,23100,8100,18525,10000,59725
IIT - Indore,SC / ST / All PwD,0,23100,8100,18525,10000,59725
IIT - Jammu,General  /  OBC     ( Income  > 5L ),100000,34945,7220,1800,10000,153965
IIT - Jammu,General  /  OBC / EWS     ( Income  1L to 5L ),33333,34945,7220,1800,10000,87298
IIT - Jammu,General  /  OBC / EWS     ( Income  below 1L ),0,34945,7220,1800,10000,53965
IIT - Jammu,SC / ST / All PwD,0,34945,7220,1800,10000,53965
IIT - Jodhpur,General  /  OBC     ( Income  > 5L ),100000,27250,6800,19000,8000,161050
IIT - Jodhpur,General  /  OBC / EWS     ( Income  1L to 5L ),33333,27250,6800,19000,8000,94383
IIT - Jodhpur,General  /  OBC / EWS     ( Income  below 1L ),0,27250,6800,19000,8000,61050
IIT - Jodhpur,SC / ST / All PwD,0,27250,6800,19000,8000,61050
IIT - Kanpur,General  /  OBC     ( Income  > 5L ),100000,23410,5200,15385,26000,169995
IIT - Kanpur,General  /  OBC / EWS     ( Income  1L to 5L ),33333,23410,5200,15385,26000,103328
IIT - Kanpur,General  /  OBC / EWS     ( Income  below 1L ),0,23410,5200,15385,26000,69995
IIT - Kanpur,SC / ST / All PwD,0,23410,5200,15385,26000,69995
IIT - Kharagpur,General  /  OBC     ( Income  > 5L ),100000,5750,5700,30235,6000,147685
IIT - Kharagpur,General  /  OBC / EWS     ( Income  1L to 5L ),33333,5750,5700,30235,6000,81018
IIT - Kharagpur,General  /  OBC / EWS     ( Income  below 1L ),0,5750,5700,30235,6000,47685
IIT - Kharagpur,SC / ST / All PwD,0,5750,5700,30235,6000,47685
IIT - Madras,General  /  OBC     ( Income  > 5L ),100000,15402,20000,20750,5000,161152
IIT - Madras,General  /  OBC / EWS     ( Income  1L to 5L ),33333,15402,20000,20750,5000,94485
IIT - Madras,General  /  OBC / EWS     ( Income  below 1L ),0,15402,20000,20750,5000,61152
IIT - Madras,SC / ST / All PwD,0,15402,20000,20750,5000,61152
IIT - Mandi,General  /  OBC     ( Income  > 5L ),100000,1000,10000,26960,7000,144960
IIT - Mandi,General  /  OBC / EWS     ( Income  1L to 5L ),33333,1000,10000,26960,7000,78293
IIT - Mandi,General  /  OBC / EWS     ( Income  below 1L ),0,1000,10000,26960,7000,44960
IIT - Mandi,SC / ST / All PwD,0,1000,10000,26960,7000,44960
IIT - Palakkad,General  /  OBC     ( Income  > 5L ),100000,20270,7800,20200,3500,151770
IIT - Palakkad,General  /  OBC / EWS     ( Income  1L to 5L ),33333,20270,7800,20200,3500,85103
IIT - Palakkad,General  /  OBC / EWS     ( Income  below 1L ),0,20270,7800,20200,3500,51770
IIT - Palakkad,SC / ST / All PwD,0,20270,7800,20200,3500,51770
IIT - Patna,General  /  OBC     ( Income  > 5L ),100000,19194,13750,26975,25000,184919
IIT - Patna,General  /  OBC / EWS     ( Income  1L to 5L ),33333,19194,13750,26975,25000,118252
IIT - Patna,General  /  OBC / EWS     ( Income  below 1L ),0,19194,13750,26975,25000,84919
IIT - Patna,SC / ST / All PwD,0,19194,13750,26975,25000,84919
IIT - Roorkee,General  /  OBC     ( Income  > 5L ),100000,11300,10000,29250,5000,155550
IIT - Roorkee,General  /  OBC / EWS     ( Income  1L to 5L ),33333,11300,10000,29250,5000,88883
IIT - Roorkee,General  /  OBC / EWS     ( Income  below 1L ),0,11300,10000,29250,5000,55550
IIT - Roorkee,SC / ST / All PwD,0,11300,10000,29250,5000,55550
IIT - Ropar,General  /  OBC     ( Income  > 5L ),100000,6150,7500,28760,                      -,142410
IIT - Ropar,General  /  OBC / EWS     ( Income  1L to 5L ),33334,6150,7500,28760,                      -,75744
IIT - Ropar,General  /  OBC / EWS     ( Income  below 1L ),0,6150,7500,28760,                      -,42410
IIT - Ropar,SC / ST / All PwD,0,6150,7500,28760,                      -,42410
IIT - Tirupati,General  /  OBC     ( Income  > 5L ),100000,18305,6550,19600,5000,149455
IIT - Tirupati,General  /  OBC / EWS     ( Income  1L to 5L ),33333,18305,6550,19600,5000,82788
IIT - Tirupati,General  /  OBC / EWS     ( Income  below 1L ),0,18305,6550,19600,5000,49455
IIT - Tirupati,SC / ST / All PwD,0,18305,6550,19600,5000,49455
"IIT RAM, Ahmedabad, Gujarat",General  /  OBC     ( Income  > 5L ),90000,9000,7000,55000,3000,164000
"IIT RAM, Ahmedabad, Gujarat",General  /  OBC / EWS     ( Income  1L to 5L ),30000,9000,7000,55000,3000,104000
"IIT RAM, Ahmedabad, Gujarat",General  /  OBC / EWS     ( Income  below 1L ),0,9000,7000,55000,3000,74000
"IIT RAM, Ahmedabad, Gujarat",SC / ST / All PwD,0,9000,7000,55000,3000,74000
NIT Agartala,General  /  OBC     ( Income  > 5L ),35000,6625,6200,24200,10000,82025
NIT Agartala,General  /  OBC / EWS     ( Income  1L to 5L ),11667,6625,6200,24200,10000,58692
NIT Agartala,General  /  OBC / EWS     ( Income  below 1L ),0,6625,6200,24200,10000,47025
NIT Agartala,SC / ST / All PwD,0,6625,6200,24200,10000,47025
NIT Allahabad,General  /  OBC     ( Income  > 5L ),62500,19000,7000,25000,8000,121500
NIT Allahabad,General  /  OBC / EWS     ( Income  1L to 5L ),20833,19000,7000,25000,8000,79833
NIT Allahabad,General  /  OBC / EWS     ( Income  below 1L ),0,19000,7000,25000,8000,59000
NIT Allahabad,SC / ST / All PwD,0,19000,7000,25000,8000,59000
NIT Andhra Pradesh,General  /  OBC     ( Income  > 5L ),62500,18600,0,32000,14000,127100
NIT Andhra Pradesh,General  /  OBC / EWS     ( Income  1L to 5L ),20833,18600,0,32000,14000,85433
NIT Andhra Pradesh,General  /  OBC / EWS     ( Income  below 1L ),0,18600,0,32000,14000,64600
NIT Andhra Pradesh,SC / ST / All PwD,0,18600,0,32000,14000,64600
MANIT Bhopal,General  /  OBC     ( Income  > 5L ),62500,10400,8600,18000,10000,109500
MANIT Bhopal,General  /  OBC / EWS     ( Income  1L to 5L ),20834,10400,8600,18000,10000,67834
MANIT Bhopal,General  /  OBC / EWS     ( Income  below 1L ),0,10400,8600,18000,10000,47000
MANIT Bhopal,SC / ST / All PwD,0,10400,8600,18000,10000,47000
NIT Calicut,General  /  OBC     ( Income  > 5L ),62500,11786,33000,9000,20000,136286
NIT Calicut,General  /  OBC / EWS     ( Income  1L to 5L ),20834,11786,33000,9000,20000,94620
NIT Calicut,General  /  OBC / EWS     ( Income  below 1L ),0,11786,33000,9000,20000,73786
NIT Calicut,SC / ST / All PwD,0,11786,33000,9000,20000,73786
NIT Delhi,General  /  OBC     ( Income  > 5L ),62500,24000,7700,20000,30000,144200
NIT Delhi,General  /  OBC / EWS     ( Income  1L to 5L ),20833,24000,7700,20000,30000,102533
NIT Delhi,General  /  OBC / EWS     ( Income  below 1L ),0,24000,7700,20000,30000,81700
NIT Delhi,SC / ST / All PwD,0,24000,7700,20000,30000,81700
NIT Durgapur,General  /  OBC     ( Income  > 5L ),62500,18600,7500,11500,10000,110100
NIT Durgapur,General  /  OBC / EWS     ( Income  1L to 5L ),20833,18600,7500,11500,10000,68433
NIT Durgapur,General  /  OBC / EWS     ( Income  below 1L ),0,18600,7500,11500,10000,47600
NIT Durgapur,SC / ST / All PwD,0,18600,7500,11500,10000,47600
NIT Goa,General  /  OBC     ( Income  > 5L ),62500,13000,6000,38250,9000,128750
NIT Goa,General  /  OBC / EWS     ( Income  1L to 5L ),20833,13000,6000,38250,9000,87083
NIT Goa,General  /  OBC / EWS     ( Income  below 1L ),0,13000,6000,38250,9000,66250
NIT Goa,SC / ST / All PwD,0,13000,6000,38250,9000,66250
NIT Hamirpur,General  /  OBC     ( Income  > 5L ),62500,20600,8000,35000,10000,136100
NIT Hamirpur,General  /  OBC / EWS     ( Income  1L to 5L ),20833,20600,8000,35000,10000,94433
NIT Hamirpur,General  /  OBC / EWS     ( Income  below 1L ),0,20600,8000,35000,10000,73600
NIT Hamirpur,SC / ST / All PwD,0,20600,8000,35000,10000,73600
MNIT Jaipur,General  /  OBC     ( Income  > 5L ),62500,20215,1600,47000,15000,146315
MNIT Jaipur,General  /  OBC / EWS     ( Income  1L to 5L ),20834,20215,1600,47000,15000,104649
MNIT Jaipur,General  /  OBC / EWS     ( Income  below 1L ),0,20215,1600,47000,15000,83815
MNIT Jaipur,SC / ST / All PwD,0,20215,1600,47000,15000,83815
NIT Jalandhar,General  /  OBC     ( Income  > 5L ),62500,25500,5500,25000,10000,128500
NIT Jalandhar,General  /  OBC / EWS     ( Income  1L to 5L ),20840,25500,5500,25000,10000,86840
NIT Jalandhar,General  /  OBC / EWS     ( Income  below 1L ),0,25500,5500,25000,10000,66000
NIT Jalandhar,SC / ST / All PwD,0,25500,5500,25000,10000,66000
NIT Jamshedpur,General  /  OBC     ( Income  > 5L ),62500,12000,22000,33000,10000,139500
NIT Jamshedpur,General  /  OBC / EWS     ( Income  1L to 5L ),20833,12000,22000,33000,10000,97833
NIT Jamshedpur,General  /  OBC / EWS     ( Income  below 1L ),0,12000,22000,33000,10000,77000
NIT Jamshedpur,SC / ST / All PwD,0,12000,22000,33000,10000,77000
NIT Kurukshetra,General  /  OBC     ( Income  > 5L ),62500,15100,14400,9900,7500,109400
NIT Kurukshetra,General  /  OBC / EWS     ( Income  1L to 5L ),20833,15100,14400,9900,7500,67733
NIT Kurukshetra,General  /  OBC / EWS     ( Income  below 1L ),0,15100,14400,9900,7500,46900
NIT Kurukshetra,SC / ST / All PwD,0,15100,14400,9900,7500,46900
NIT Manipur,General  /  OBC     ( Income  > 5L ),62500,15400,1500,39000,15000,133400
NIT Manipur,General  /  OBC / EWS     ( Income  1L to 5L ),20833,15400,1500,39000,15000,91733
